sha	date	subject	files	decision	reason	needs_unit_test	needs_devenv	commit_strategy	coupled_to	status
9705fc674	2025-04-30	trace writing: make it easier to see different trace writes in flame graphs	globe_index.c	take	core decode/output path (critical)	y				
abc0201bd	2025-04-30	makefile add LTO option	Makefile	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
bbf446ad0	2025-05-01	improve help for --device-type ifile	README.md,help.h	take	core code (non-critical) | help/README text only	n				
cb2f04a9e	2025-05-01	incrementing version: 3.14.1667	debian/changelog,version	skip	debian changelog metadata only					
89de90c10	2025-05-01	add example for simple webserver to MacOS instructions	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
a22572a89	2025-05-01	trace stuff cleanup / soften midnight IOPS spike	globe_index.c	take	core decode/output path (critical)	y				
1ac848953	2025-05-01	api buffer minor tweak	api.c	take	core decode/output path (critical)	y				
38be34f18	2025-05-01	make api hash automatically resize to save 4MB of memory for most installs	api.c,api.h	take	core decode/output path (critical)	y				
8311b5345	2025-05-01	fixup filter_callsign API / cleanup some bad constants in api code	api.c,api.h,util.h	take	core decode/output path (critical)	y				
0b495c588	2025-05-02	incrementing version: 3.14.1668	debian/changelog,version	skip	debian changelog metadata only					
8cac43bcd	2025-05-02	getUptime: never use synthetic timestamp	util.c	take	core code (non-critical) | getUptime no synthetic ts; stats output	y				
3df53b3ab	2025-05-02	use mmap to take advantage of 2MB (or multiple) mappings that are automatically 	readsb.c,readsb.h	take	core code (non-critical) | perf/memory; no observable output change	n				
a59431f1a	2025-05-05	only write permanent traces near the end of the day	globe_index.c,globe_index.h	take	core decode/output path (critical)	y				
4e320be84	2025-05-05	use mmap for aircraft object storage under certain conditions	7 files: aircraft.c,aircraft.h,globe_index.c,globe_index.h,readsb.c,readsb.h,track.h	take	core decode/output path (critical)	y				
d76bf09b1	2025-05-05	keep track of memory used for aircraft structs	aircraft.c,massif.sh,readsb.h,stats.c	take	core decode/output path (critical)	y				
61d5566fb	2025-05-05	parallel state loading aircraftCreate: explain why we don't need a mutex for thi	aircraft.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
cdf22bb46	2025-05-05	better maintain quickGet	aircraft.c,track.c	take	core decode/output path (critical)	y				
b43a43d6a	2025-05-05	add spinlock, don't use it though	5 files: aircraft.c,readsb.c,readsb.h,util.c,util.h	take	core decode/output path (critical)	y				
46ad2fc16	2025-05-05	readme / help: use file instead filepath	README.md,help.h	take	core code (non-critical) | help/README text only	n				
301aa03cb	2025-05-05	incrementing version: 3.14.1669	debian/changelog,version	skip	debian changelog metadata only					
3edb4e7b7	2025-05-06	use aircraftBack to reduce memory fragmentation even without thp	aircraft.c	take	core decode/output path (critical)	y				
50b2a290c	2025-05-06	incrementing version: 3.14.1670	debian/changelog,version	skip	debian changelog metadata only					
7423fcc45	2025-05-06	add free on exit for valgrind	aircraft.c,readsb.c	take	core decode/output path (critical)	y				
9e5d95f7c	2025-05-06	save 4 MB of memory when using --db-file	readsb.h	take	core code (non-critical) | perf/memory; no observable output change	n				
266ce73db	2025-05-06	fix minor memory stat issue	aircraft.c	take	core decode/output path (critical)	y			follow-up?	
33cd3b4b3	2025-05-07	work around global data with ground positions while a receiver location is provi	readsb.c,readsb.h,track.c	take	core decode/output path (critical)	y				
601d52bfd	2025-05-10	better logging when using ModeS Beast	net_io.c	take	core decode/output path (critical)	y				
af0982436	2025-05-11	reset aircraft message count when it's been inactive for 15 minutes	track.c	take	core decode/output path (critical)	y				
09a1f5bff	2025-05-11	fixup global message rate calculation	track.c	take	core decode/output path (critical)	y				
d280b540f	2025-05-11	incrementing version: 3.14.1671	debian/changelog,version	skip	debian changelog metadata only					
5bf3030c9	2025-05-11	thread pool buffers: release regularly	readsb.c,threadpool.c,util.c	take	core code (non-critical) | perf/memory; no observable output change	n				
d63f888a6	2025-05-11	remove unused minilzo dependency	Makefile,globe_index.c,readsb.c,readsb.h	take	core decode/output path (critical) + touches build (resolve to ADSBx side) | retag->take: build hunks reconciled by tip customization patch	y		tip-patch		
940d7ff52	2025-05-11	remove minizlo dependency: code folder	8 files: minilzo	take	vendored lib only	n				
9ee3e116e	2025-05-12	netDrainMessageBuffers: drain all of them	net_io.c	take	core decode/output path (critical)	y				
6a9f6432c	2025-05-12	add baudrate, cosmetics	sdr.c,sdr_beast.c	take	core code (non-critical) | beast/SDR serial path; not unit-testable	n				
ece78830a	2025-05-12	mode-s beast: hopefully fix baud setting	compat/apple/serial_compat.h,help.h,sdr_beast.c	take	core code (non-critical) | beast/SDR serial path; not unit-testable	n			follow-up?	
1db569169	2025-05-12	incrementing version: 3.14.1672	debian/changelog,version	skip	debian changelog metadata only					
f7c42168e	2025-05-22	some unused code to print bar graph on console for message rate	track.c	take	core decode/output path (critical)	y				
9d95f40ee	2025-05-22	--full-trace-dir option to reduce memory usage of --write-globe-index at the exp	globe_index.c,help.h,readsb.c,readsb.h	take	core decode/output path (critical)	y				
7ecb58dcd	2025-05-23	incrementing version: 3.14.1673	debian/changelog,version	skip	debian changelog metadata only					
c677ad243	2025-05-23	docker jemalloc: slight memory savings	Dockerfile	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
aff96e812	2025-05-23	incrementing version: 3.14.1674	debian/changelog,version	skip	debian changelog metadata only					
2002728ea	2025-05-23	don't mess with trace_next_perm on load	globe_index.c	take	core decode/output path (critical)	y				
94ac38dc6	2025-05-23	try and spread out perm writes better	globe_index.c	take	core decode/output path (critical)	y				
a06500910	2025-05-24	better update receiverlist for receivers that are not quite as low latency	track.c	take	core decode/output path (critical)	y				
05408c530	2025-05-24	add some thread count limits	api.c,globe_index.c,readsb.c	take	core decode/output path (critical)	y				
7153cbe14	2025-05-24	incrementing version: 3.14.1675	debian/changelog,version	skip	debian changelog metadata only					
d3eb56779	2025-05-24	better way to set priority for trace pool	readsb.c	take	core code (non-critical) | perf/memory; no observable output change	n				
669cdca11	2025-05-24	traces: add version string	Makefile,json_out.c	take	core decode/output path (critical) + touches build (resolve to ADSBx side) | retag->take: build hunks reconciled by tip customization patch	y		tip-patch		
eb117e317	2025-05-26	fine grained ground positions if speed changes	globe_index.c	take	core decode/output path (critical)	y				
aa7a40fd6	2025-05-26	add 30 seconds of max resolution before landing	globe_index.c	take	core decode/output path (critical)	y				
c9780a584	2025-05-26	higher resolution for 30 seconds after airground change	globe_index.c,track.c,track.h	take	core decode/output path (critical)	y				
a470d6051	2025-05-26	"Revert ""better update receiverlist for receivers that are not quite as low laten"	track.c	take	core decode/output path (critical)	y			follow-up?	
86d599842	2025-05-26	fine grained ground positions if speed changes not that great remove	globe_index.c	take	core decode/output path (critical)	y				
688111f15	2025-05-26	incrementing version: 3.14.1676	debian/changelog,version	skip	debian changelog metadata only					
ffd36f5dc	2025-05-27	improve non position data reduce forwarding for --net-ingest instances	track.c	take	core decode/output path (critical)	y				
4a77ba19f	2025-05-27	incrementing version: 3.14.1677	debian/changelog,version	skip	debian changelog metadata only					
a2856a18e	2025-05-27	regularly reallocate certain buffers	globe_index.c	take	core decode/output path (critical)	y				
d0df62f24	2025-05-27	better debugging / allow more compressCurrent passes	globe_index.c	take	core decode/output path (critical)	y				
e5a4fe909	2025-05-27	autogain: recover gain much quicker	readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
3862d1d5a	2025-05-27	autogain: much quicker rebound for closeby passing aircraft	readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
ecdf45ffe	2025-05-27	incrementing version: 3.14.1678	debian/changelog,version	skip	debian changelog metadata only					
a28302c32	2025-05-27	writing fulltrace: always mark legs	globe_index.c	take	core decode/output path (critical)	y				
1ecee5743	2025-05-28	autogain loud rebound: not quite as fast	readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
65dfd86a9	2025-05-28	incrementing version: 3.14.1679	debian/changelog,version	skip	debian changelog metadata only					
9f6e870c4	2025-05-28	add lock around some trace handling	globe_index.c,track.h	take	core decode/output path (critical)	y				
a2e98afe9	2025-05-28	some more traceLock	track.c	take	core decode/output path (critical)	y				
e77bb4e3d	2025-05-28	remove incorrect comment	track.c	take	core decode/output path (critical)	y				
1a9629f21	2025-05-28	removestale: iterate all aircraft less often	track.c	take	core decode/output path (critical)	y				
3bf279d9e	2025-05-28	no traceMaintenance calls unless needed	track.c	take	core decode/output path (critical)	y				
60bb6ec89	2025-05-28	debug stuff	track.c	take	core decode/output path (critical)	y				
605e0aade	2025-05-30	fixup some trace logic things	globe_index.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
cd775cba7	2025-05-30	increase traceLast default to 96	readsb.c	take	core code (non-critical) | perf/memory; no observable output change (validate default change in dev)	n	y			
04454843b	2025-05-30	after landing / takeoff: up to 60 seconds of data every second	globe_index.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
4e4c61f08	2025-05-30	incrementing version: 3.14.1680	debian/changelog,version	skip	debian changelog metadata only					
5faf09687	2025-06-02	binCraft: better switching between message rate and message count	json_out.c,readsb.h,stats.c	take	core decode/output path (critical)	y				
f2b6d3f29	2025-06-02	incrementing version: 3.14.1681	debian/changelog,version	skip	debian changelog metadata only					
67614a236	2025-06-02	binCraft messagerate fixup	api.c,json_out.c	take	core decode/output path (critical)	y				
04b69dfd0	2025-06-02	incrementing version: 3.14.1682	debian/changelog,version	skip	debian changelog metadata only					
554a17ded	2025-06-02	reference homebrew recipe	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
c7a309b62	2025-06-18	when using an SDR only forward first message from a plane when no fixed bits	net_io.c	take	core decode/output path (critical)	y				
600772272	2025-06-18	incrementing version: 3.14.1683	debian/changelog,version	skip	debian changelog metadata only					
75decb53c	2025-06-19	don't delay using jaero positions when low jaero timeout set	track.c	take	core decode/output path (critical)	y				
f583afe8e	2025-06-27	write full traces less often	Makefile,globe_index.c,globe_index.h	take	core decode/output path (critical) + touches build (resolve to ADSBx side) | retag->take: build hunks reconciled by tip customization patch	y		tip-patch		
85d434726	2025-07-01	tweak autogain: make single loudEvent sufficient to reduce gain	readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
452cb976c	2025-07-01	incrementing version: 3.14.1684	debian/changelog,version	skip	debian changelog metadata only					
5073f10c7	2025-07-10	improve altitude reliability check	track.c	take	core decode/output path (critical)	y				
60f296747	2025-07-10	incrementing version: 3.14.1685	debian/changelog,version	skip	debian changelog metadata only					
554fd755d	2025-07-10	minor fixup for altitude reliability check	track.c	take	core decode/output path (critical)	y				
12edce9a4	2025-07-10	don't disrupt alt_reliable due to disagreeing lower quality data	track.c	take	core decode/output path (critical)	y				
92be7701c	2025-07-10	accept alt from mlat sbs input	track.c	take	core decode/output path (critical)	y				
62e6cb294	2025-07-10	minor alt update stuff	track.c	take	core decode/output path (critical)	y				
8740084e0	2025-07-10	incrementing version: 3.14.1686	debian/changelog,version	skip	debian changelog metadata only					
81f5293ba	2025-07-10	debug stuff	track.c	take	core decode/output path (critical)	y				
8b495ebdf	2025-07-10	alt update minor	track.c	take	core decode/output path (critical)	y				
8087d37a4	2025-07-11	json mlat / tisb flags array: add alt_baro	json_out.c	take	core decode/output path (critical)	y				
ac891f8a4	2025-07-11	incrementing version: 3.14.1687	debian/changelog,version	skip	debian changelog metadata only					
6d4bb7302	2025-07-12	altitude update debugging stuff	track.c	take	core decode/output path (critical)	y				
e6ed99481	2025-07-12	readme	README-json.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
b1487aca5	2025-07-15	--gain=auto: increase default noiseLowThreshold a bit	README.md,readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
3b501c105	2025-07-15	incrementing version: 3.14.1688	debian/changelog,version	skip	debian changelog metadata only					
451221d54	2025-07-15	autogain: debounce loudRebound a bit	readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
bf82d5c76	2025-07-15	incrementing version: 3.14.1689	debian/changelog,version	skip	debian changelog metadata only					
9cb37df8a	2025-07-15	incrementing version: 3.14.1690	debian/changelog,version	skip	debian changelog metadata only					
77296c980	2025-07-20	net_io: use global ais_charset definition	net_io.c	take	core decode/output path (critical)	y				
f743b90e7	2025-07-20	ais_charset, uat2esnt: ensure ais_charset is a NUL-terminated string	ais_charset.c,ais_charset.h,uat2esnt/uat2esnt.c	take	core code (non-critical) | ais_charset NUL-termination; ais_charset_tests	y				
dab71ee4a	2025-07-20	interactive, uat2esnt: use __nonstring__ attribute for byte arrays	interactive.c,readsb.h,uat2esnt/uat.h,uat2esnt/uat_decode.c	take	core code (non-critical) | cleanup/refactor; no behavior change	n				
21d399deb	2025-07-21	extend char arrays to avoid unterminated strings	interactive.c,readsb.h,uat2esnt/uat.h,uat2esnt/uat_decode.c	take	core code (non-critical) | cleanup/refactor; no behavior change	n				
58040bfe4	2025-07-28	parse SBS receive timestamp	net_io.c	take	core decode/output path (critical)	y				
71e4a7dee	2025-07-28	incrementing version: 3.14.1691	debian/changelog,version	skip	debian changelog metadata only					
b8250c42e	2025-07-28	readme: link some projects using this software	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
86f2be0db	2025-07-28	sbs input: prevent parsing timestamps from the future	net_io.c	take	core decode/output path (critical)	y				
45b6ec3c4	2025-08-01	clear range outline as expected when no data is coming in	track.c	take	core decode/output path (critical)	y				
48449b0a2	2025-08-01	incrementing version: 3.14.1692	debian/changelog,version	skip	debian changelog metadata only					
28f664663	2025-08-02	fixup SBS time parsing	net_io.c	take	core decode/output path (critical)	y				
c42e66d3b	2025-08-02	incrementing version: 3.14.1693	debian/changelog,version	skip	debian changelog metadata only					
2fac6025b	2025-08-10	traces: fix roll overflow by reducing accuracy	track.h	take	core decode/output path (critical)	y			follow-up?	
3a91797ab	2025-08-10	incrementing version: 3.14.1694	debian/changelog,version	skip	debian changelog metadata only					
5a3d6f2ac	2025-08-14	make json location accuracy work more reliably on indirect data	help.h,json_out.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
3c337324c	2025-08-14	incrementing version: 3.14.1695	debian/changelog,version	skip	debian changelog metadata only					
25eb72f0d	2025-08-15	viewadsb: improve altitude sorting stability	interactive.c	take	core code (non-critical) | viewadsb/interactive terminal UI; not in automated suite	n				
4493ff430	2025-08-15	viewadsb: only sort every 3 seconds	interactive.c	take	core code (non-critical) | viewadsb/interactive terminal UI; not in automated suite	n				
f4d29c888	2025-08-15	reduce viewadsb refresh from 0.25 to 0.5 seconds	readsb.h	take	core code (non-critical) | viewadsb/interactive terminal UI; not in automated suite	n				
74f2d9d01	2025-08-15	viewadsb: only clear errors every 10 seconds	interactive.c	take	core code (non-critical) | viewadsb/interactive terminal UI; not in automated suite	n				
0867262d9	2025-08-15	add support for uat messages encapsulated in the beast stream	net_io.c	take	core decode/output path (critical)	y				
130c6f47c	2025-08-15	read_uuid in beast stream: handle partial buffer correctly	net_io.c	take	core decode/output path (critical)	y				
2ff826d46	2025-08-15	incrementing version: 3.14.1696	debian/changelog,version	skip	debian changelog metadata only					
234dad576	2025-08-15	fixup encapsulated UAT	net_io.c	take	core decode/output path (critical)	y				
de952d873	2025-08-15	interactive: speed 4 wide for --metric	interactive.c	take	core code (non-critical) | viewadsb/interactive terminal UI; not in automated suite	n				
b6c96747b	2025-08-15	interactive: consistently sort ground	interactive.c	take	core code (non-critical) | viewadsb/interactive terminal UI; not in automated suite	n				
eaa4085fa	2025-08-15	interactive: when lat lon specified, show distance / direction and sort by dista	interactive.c	take	core code (non-critical) | viewadsb/interactive terminal UI; not in automated suite	n				
c77b06279	2025-08-15	interactive minor readability changes	interactive.c	take	core code (non-critical) | viewadsb/interactive terminal UI; not in automated suite	n				
539e11d46	2025-08-15	interactive sort stability for aircraft on ground	interactive.c	take	core code (non-critical) | viewadsb/interactive terminal UI; not in automated suite	n				
9c55bcdd6	2025-08-17	debian rules	debian/control,debian/rules	take	debian packaging (ADSBx does not fork debian/); keeps deb build current	n				
63acbde9e	2025-08-17	incrementing version: 3.14.1697	debian/changelog,version	skip	debian changelog metadata only					
e70292810	2025-08-17	big version jump: 3.15	tag.sh,version	skip	upstream docs/release tooling; ADSBx uses own CI/README					
b60583a85	2025-08-17	incrementing version: 3.15.1	debian/changelog,version	skip	debian changelog metadata only					
32c0ced0d	2025-08-17	specify build dep libsoapysdr-dev in readme	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
e1ec52c42	2025-08-18	build with all the SDR support	README.md,debian/control,debian/rules	adapt	debian SDR build profile may affect dpkg-buildpackage -Prtlsdr; verify			verify-packaging		
5b1e05c97	2025-08-18	update debian copyright at least partially	debian/copyright	take	debian packaging (ADSBx does not fork debian/); keeps deb build current	n				
ea1e279a2	2025-08-18	debian package: build faster with make -j $(nprocs)	debian/rules	take	debian packaging (ADSBx does not fork debian/); keeps deb build current	n				
ce09d1aeb	2025-08-18	cleanup readsb.service / readsb.default	debian/readsb.default,debian/readsb.service	take	debian packaging (ADSBx does not fork debian/); keeps deb build current	n				
878763238	2025-08-18	update debian package description	debian/control	take	debian packaging (ADSBx does not fork debian/); keeps deb build current	n				
548ecb269	2025-08-18	readme: add some credits / history	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
dd59d1d76	2025-08-18	autogenerate manpages using help2man	debian/control,debian/readsb.1,debian/rules,debian/viewadsb.1	take	debian packaging (ADSBx does not fork debian/); keeps deb build current	n				
26d725d3e	2025-08-18	print some credits in help	argp.c,argp.h,help.h	take	core code (non-critical) | help/README text only	n				
798f32f04	2025-08-18	incrementing version: 3.15.2	debian/changelog,version	skip	debian changelog metadata only					
604042f18	2025-08-18	readme: update build instructions	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
4e38f3123	2025-08-18	more flexible tag.sh	changelog,tag.sh	skip	upstream docs/release tooling; ADSBx uses own CI/README					
7ef806ab6	2025-08-18	tag.sh: add notes for releasing a version	tag.sh	skip	upstream docs/release tooling; ADSBx uses own CI/README					
1a51ad707	2025-08-18	fixup tag.sh to include changelog from main directory	tag.sh	skip	upstream docs/release tooling; ADSBx uses own CI/README					
9a962dc10	2025-08-18	tag.sh add newline after unreleased changelog entry	tag.sh	skip	upstream docs/release tooling; ADSBx uses own CI/README					
b0e673bef	2025-08-18	add with_sdrs build profile	README.md,debian/control,debian/rules	adapt	debian SDR build profile may affect dpkg-buildpackage -Prtlsdr; verify			verify-packaging		
6927c3579	2025-08-18	release 3.16	changelog,debian/changelog,version	skip	upstream docs/release tooling; ADSBx uses own CI/README					
41bde73c0	2025-08-18	readme: fixup missing help2man dependency	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README				follow-up?	
57e1c0b0e	2025-08-27	load_state: somewhat better handling of broken state data	6 files: aircraft.c,aircraft.h,globe_index.c,globe_index.h,readsb.c,readsb.h	take	core decode/output path (critical)	y				
5d6ce7a0d	2025-08-27	aircraft loading: can't rely on blob association staying the same	globe_index.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
05c70f90d	2025-08-27	dealing with messed up state is tricky	globe_index.c	take	core decode/output path (critical)	y				
0cea2aa2e	2025-08-27	incrementing version: 3.16.1	debian/changelog,version	skip	debian changelog metadata only					
e4bf34081	2025-08-31	remove unnecessarly newlines from ownOp/year details in json	json_out.c	take	core decode/output path (critical)	y				
5950f7448	2025-09-06	increase output buffer for uat2esnt conversion	net_io.c	take	core decode/output path (critical)	y				
44daf02ff	2025-09-06	add ugly way to process specially beast encapsulated UAT messages	net_io.c	take	core decode/output path (critical)	y				
990bafb14	2025-09-06	minor stuff to more obviously guarantee progress processing beast	net_io.c	take	core decode/output path (critical)	y				
7335e0c01	2025-09-08	distance approximation: go back to elliptical earth	util.c	take	core code (non-critical) | distance calc back to elliptical earth; util_tests	y				
460c9fc6b	2025-09-08	distance approximations aren't that good, less noisy when checking approx	util.c	take	core code (non-critical) | debug/log output only	n				
3852ad21e	2025-09-08	less noisy checking degree approx	util.c	take	core code (non-critical) | debug/log output only	n				
786c1ac79	2025-09-09	prevent traceLast data from the previous day in history traces	globe_index.c,json_out.c,json_out.h	take	core decode/output path (critical)	y				
4c1459a82	2025-09-10	incrementing version: 3.16.2	debian/changelog,version	skip	debian changelog metadata only					
6ee71cfaa	2025-09-25	debug for decodeEncapsulatedUAT	net_io.c	take	core decode/output path (critical)	y				
3623c68f0	2025-09-25	decodeEncapsulatedUat: fix, this should work now	net_io.c	take	core decode/output path (critical)	y			follow-up?	
03a2bf526	2025-09-25	incrementing version: 3.16.3	debian/changelog,version	skip	debian changelog metadata only					
ec69dc129	2025-10-06	receiver position logic: fix for receivers near dateline	receiver.c	take	core decode/output path (critical)	y			follow-up?	
14ef1565b	2025-10-06	prepare defines for api filtering by uuid	Makefile,readsb.h,track.c,track.h	take	core decode/output path (critical) + touches build (resolve to ADSBx side) | retag->take: build hunks reconciled by tip customization patch	y		tip-patch		
e213c054d	2025-10-06	api: add &filter_uuid filter	README-json.md,api.c,api.h	take	core decode/output path (critical)	y				
55b026baf	2025-10-07	only show planes with filter_uuid if received very recently by uuid	api.c	take	core decode/output path (critical)	y				
b530dd30e	2025-10-14	comment on dropHalfUntil	net_io.c	take	core decode/output path (critical)	y				
83cfa54e1	2025-10-17	adjust help for TCP client / server terminology	help.h	take	core code (non-critical) | help/README text only	n				
9b80d7208	2025-10-17	update --help in github readme	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
af4d2d6a0	2025-10-17	incrementing version: 3.16.4	debian/changelog,version	skip	debian changelog metadata only					
b53e58c1c	2025-10-20	stop counting invalid decodes from network for message rate	track.c	take	core decode/output path (critical)	y				
3e095b1f1	2025-10-20	incrementing version: 3.16.5	debian/changelog,version	skip	debian changelog metadata only					
7b78f77f0	2025-11-07	readme: fixup a link	README.md	skip	upstream docs/release tooling; ADSBx uses own CI/README					
81b5d26ff	2025-11-10	ifile: exit promptly	sdr_ifile.c	take	SDR/hardware path; low test priority	n				
079768749	2025-11-10	improve handling of synthetic clock / priority tasks	readsb.c,readsb.h,sdr_ifile.c	take	core code (non-critical) | synthetic clock/priority affects ifile replay determinism in tests	y	y			
2d007af3c	2025-11-10	interactive: clean up seen column formatting a bit	interactive.c	take	core code (non-critical) | viewadsb/interactive terminal UI; not in automated suite	n				
97ba5e692	2025-11-15	modify default USB buffer size to 128 kibibytes	help.h,readsb.c	take	core code (non-critical) | perf/memory; no observable output change	n				
aa0bc6286	2025-11-15	SDR: unexpected size: avoid spamming the log too much	sdr_hackrf.c,sdr_plutosdr.c,sdr_rtlsdr.c,sdr_soapy.c	take	SDR/hardware path; low test priority	n				
b985831f5	2025-11-15	incrementing version: 3.16.6	debian/changelog,version	skip	debian changelog metadata only					
ba29158f0	2025-11-20	add option --json-separate-alt-ground	help.h,json_out.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
feee9307e	2025-12-14	make --net-beast-reduce-filter-dist more versatile	help.h,readsb.c,track.c	take	core decode/output path (critical)	y				
6946bda89	2025-12-18	fix / make obvious: recentReceiverId overwrite logic	track.c	take	core decode/output path (critical)	y			follow-up?	
cd7b07eb0	2025-12-18	set recentReceiverIds for aircraft without position	track.c	take	core decode/output path (critical)	y				
f4f7648cb	2025-12-18	incrementing version: 3.16.7	debian/changelog,version	skip	debian changelog metadata only					
25b1409e0	2025-12-20	less noise about trackremovestale taking a bit of time	track.c	take	core decode/output path (critical)	y				
71b4390c7	2025-12-21	api: fix out of bounds read	api.c	take	core decode/output path (critical)	y			follow-up?	
130c1439c	2025-12-21	net_io: fix null deref when with proxy strings	net_io.c	take	core decode/output path (critical)	y			follow-up?	
5141685f5	2025-12-21	net_io: fix asterix decoding fspec	net_io.c	take	core decode/output path (critical)	y			follow-up?	
91346cb5a	2025-12-21	net_io: fix readAsterix length validation failure	net_io.c	take	core decode/output path (critical)	y			follow-up?	
b05ebdafe	2025-12-21	incrementing version: 3.16.8	debian/changelog,version	skip	debian changelog metadata only					
4295f84da	2025-12-22	ensure decodePlanefinder does not read past buffer	net_io.c	take	core decode/output path (critical)	y				
26d7e0989	2025-12-22	api: filter_uuid: emit planes for a bit longer	api.c	take	core decode/output path (critical)	y				
69d453825	2025-12-24	docker: use zstd compression	.github/workflows/docker.yaml	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
14881d22a	2025-12-31	add macro to print current line	util.h	take	core code (non-critical) | debug/log output only	n				
f0e2ed96c	2025-12-31	add debug mechanism for garbage counter incrementing	net_io.c	take	core decode/output path (critical)	y				
1e3ba484e	2025-12-31	beast: don't assume garbage for long messages	net_io.c	take	core decode/output path (critical)	y				
d85add5d2	2026-01-01	fixup encapsulated UAT msg length check	net_io.c	take	core decode/output path (critical)	y				
ba52568d6	2026-01-01	beast: default disabled debugging for sender not flushing whole messages	net_io.c,net_io.h	take	core decode/output path (critical)	y				
800aca053	2026-01-10	Fix early return in decodeBDS44 pressure scoring	comm_b.c	take	core decode/output path (critical)	y			follow-up?	
bd95a8a3d	2026-01-17	detect bad tuners and log / make available in json	5 files: json_out.c,readsb.c,readsb.h,sdr_rtlsdr.c,stats.c	take	core decode/output path (critical)	y				
7824553d0	2026-01-17	incrementing version: 3.16.9	debian/changelog,version	skip	debian changelog metadata only					
5831f9109	2026-02-03	change default autogain parameters	README.md,readsb.c	take	core code (non-critical) | SDR autogain tuning; not unit-testable, validate on SDR build if used	n				
a88e53b99	2026-02-28	fix up tat / oat missing from traces	json_out.c,track.c	take	core decode/output path (critical)	y			follow-up?	
f31032a45	2026-02-28	incrementing version: 3.16.10	debian/changelog,version	skip	debian changelog metadata only					
7d341c6be	2026-02-28	Fix addrtype_t out of bounds	readsb.h	take	core code (non-critical) | addrtype_t OOB fix; aircraft type output correctness	y			follow-up?	
7daf43646	2026-04-04	ingest: limit position rate	5 files: net_io.c,net_io.h,readsb.c,readsb.h,track.c	take	core decode/output path (critical)	y				
c2af85460	2026-04-04	docker: add with_uuids build	Dockerfile	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
9f7071c89	2026-04-04	non transponder: lower priority	mode_s.c,readsb.h,toString.h,track.c	take	core decode/output path (critical)	y				
9a9da7a14	2026-04-05	threadpool: add ifdef dependent debug prints	threadpool.c	take	core code (non-critical) | debug/log output only	n				
eb635963c	2026-04-05	threadpool: add busy loop counting	threadpool.c	take	core code (non-critical) | debug/log output only	n				
ba2fae14f	2026-04-05	threadpool: improve variable naming	threadpool.c	take	core code (non-critical) | cleanup/refactor; no behavior change	n				
0dfa2aafa	2026-04-06	threadpool: use fetch_sub instead of compare exchange	threadpool.c	take	core code (non-critical) | perf/memory; no observable output change	n				
542534546	2026-04-06	use madvise just in case for transparent hugepages	readsb.h	take	core code (non-critical) | perf/memory; no observable output change	n				
15917d77a	2026-04-06	remove spurious unused declaration	readsb.h	take	core code (non-critical) | cleanup/refactor; no behavior change	n				
4da537f6c	2026-04-06	incrementing version: 3.16.11	debian/changelog,version	skip	debian changelog metadata only					
6ecea84fb	2026-04-08	Fix: wind assignment & duplicate check	track.c	take	core decode/output path (critical)	y			follow-up?	
6d31c983c	2026-04-09	make hugepage handling better	aircraft.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
4d6c614d7	2026-04-11	Refactor: update hugepage definitions and usage in memory allocation	aircraft.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
062afb4df	2026-04-19	Add ?find_squawk API option	README-json.md,api.c,api.h	take	core decode/output path (critical)	y				
caf2c5a6d	2026-04-26	filter_squawk: support list as well	README-json.md,api.c,api.h	take	core decode/output path (critical)	y				
