sha	date	subject	files	decision	reason	needs_unit_test	needs_devenv	commit_strategy	coupled_to	status
d38b903bb	2026-05-01	receiver json: indicate if replay is being written	json_out.c	take	core decode/output path (critical)	y				
b8f00f86f	2026-05-04	add cpr repitition exception	track.c	take	core decode/output path (critical)	y				
307a8554f	2026-05-04	incrementing version: 3.16.12	debian/changelog,version	skip	debian changelog metadata only					
433a61cf6	2026-05-04	incrementing version: 3.16.13	debian/changelog,version	skip	debian changelog metadata only					
ecb9f4f5c	2026-05-04	cpr repitition: fix issue with uat	track.c	take	core decode/output path (critical)	y			follow-up?	
b80c737b4	2026-05-04	incrementing version: 3.16.14	debian/changelog,version	skip	debian changelog metadata only					
04e88d9d5	2026-05-11	new option: --net-json-port-wind-triggered	help.h,readsb.c,readsb.h,track.c	take	core decode/output path (critical)	y				
226ce8547	2026-05-12	wind triggered tcp json output: only emit when position is fresher than 2.5s	help.h,track.c	take	core decode/output path (critical)	y				
05df27db9	2026-05-12	incrementing version: 3.16.15	debian/changelog,version	skip	debian changelog metadata only					
b65ee05ff	2026-05-12	better git describe version in version strings	Makefile	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
b499ecbd1	2026-05-13	remove unused variable	net_io.c	take	core decode/output path (critical)	y				
0adaebb8d	2026-05-27	Add optional SBS RSSI field (field 23) using --devel=sbs_rssi	net_io.c,readsb.c,readsb.h,util.c	take	core decode/output path (critical)	y				
e492f81c7	2026-06-07	Fix RSSI SBS output: buffer size and log10 clamp	net_io.c	take	core decode/output path (critical)	y			follow-up?	
b2e7605da	2026-06-07	Cater for writing files to a dated sub-folder	readsb.c,readsb.h,util.c	take	core code (non-critical) | dated sub-folder output path feature	y				
8c63e84e4	2026-06-07	Updates to build with SBS_RSSI=yes	Dockerfile	take	build/CI only; preserve ADSBx label+workflows | retag->take: build hunks reconciled by tip customization patch			tip-patch		
cc0d09975	2026-06-07	Fix sign-extension in Asterix message length parsing	net_io.c	take	core decode/output path (critical)	y			follow-up?	
0bfd0473d	2026-06-08	Add --devel=sbs_extra_fields: append RSSI and aircraft category to SBS output	net_io.c,readsb.c,readsb.h	take	core decode/output path (critical)	y				
